X,Y
8.324176,5.866949
7.266711,4.99627
8.091913,4.489044
8.300525,4.490912
2.808557,4.631964
1.507166,4.582521
3.547113,5.487774
2.540009,6.084582
1.999502,4.36038
3.259625,4.398386
2.721352,5.939633
3.04167,4.280964
4.015048,5.912514
0.567839,5.139074
3.397719,5.29439
4.108994,3.628478
3.123983,3.879928
4.427277,4.00295
3.475523,6.540098
2.751363,6.225032
4.508133,3.961138
3.155456,4.988048
2.365246,4.992025
3.879833,5.525837
3.410481,6.014351
3.117484,5.527648
4.513594,3.436233
3.180744,6.193866
3.889799,5.312675
3.878154,3.926105
3.230614,5.624088
1.650527,5.604424
3.780766,5.61657
2.263332,5.824152
3.176375,4.530842
1.649484,5.226454
2.541524,5.695325
2.214145,5.06494
1.972945,4.524418
0.7431,4.427603
1.513652,5.786541
3.954233,4.748676
3.060609,5.528379
2.919293,4.212205
3.942027,4.699522
3.033086,4.390383
3.973531,5.415095
2.652507,4.450198
2.762473,4.032068
3.511607,3.50585
4.808858,5.494081
6.351858,4.784795
3.463433,5.793119
2.169109,6.222635
3.639557,5.672118
2.98509,4.19027
3.328696,4.067261
1.659186,3.523354
2.311412,4.035339
3.373332,6.390328
1.302215,6.794447
1.729405,3.175884
2.655347,4.993828
2.561819,4.720287
0.702524,6.355478
1.688482,4.737396
2.659027,3.565712
3.019955,2.65898
1.52007,4.965221
3.292897,2.228402
4.297789,4.804313
2.293553,5.32161
2.531415,5.757909
3.494618,3.77675
0.967658,4.279826
2.645098,3.959533
2.237982,6.458127
3.268357,4.30483
2.952765,6.617226
2.513177,5.162868
3.690053,6.014236
4.242896,2.854352
1.988471,6.080262
3.035806,4.860501
3.927146,4.33619
3.817719,5.08778
2.779113,3.119225
3.191093,5.67642
2.618659,5.647239
3.36409,6.133455
2.631819,4.819258
2.755405,5.186977
4.166787,7.000811
2.513955,4.318113
3.498617,3.762221
2.473852,4.651647
3.976128,5.417571
1.871511,5.049872
4.494503,3.306354
4.605621,4.831291
3.350274,5.08694
2.82786,5.645801
2.378657,5.374158
2.092515,5.543343
2.139424,6.143982
2.645945,4.491582
1.356798,5.264487
2.749612,5.066555
2.565388,4.785369
4.929558,4.813902
3.171132,6.879952
2.005333,4.602862
5.085001,4.636602
3.133574,4.666578
4.854972,3.866275
2.398665,4.610451
3.28694,5.469083
3.994934,4.632468
3.424904,5.603667
3.269491,4.185847
1.129487,3.388678
3.185391,6.195279
3.719124,3.127936
1.702833,4.968679
2.858916,4.090626
3.838124,5.855637
4.753718,4.534835
3.961431,3.922938
3.192949,5.14273
0.121044,5.30938
2.431141,5.034028
2.041575,4.680489
2.005061,4.767967
4.122045,6.899771
3.091353,4.704542
3.419734,3.386473
2.34751,4.191514
3.88382,5.12171
5.470524,5.262271
1.787274,3.587916
2.623466,4.370127
2.880599,3.261967
2.698783,4.317297
1.719841,5.033118
2.289543,4.258365
3.333051,6.36253
2.444349,6.851453
0.852432,5.416058
5.291406,7.179826
3.606942,5.686373
5.674364,4.086625
1.381573,4.134987
2.722077,5.560335
1.066833,6.154711
1.448772,4.647466
2.024734,5.461768
3.484594,5.844181
1.941365,3.656406
2.681857,5.296483
3.290146,4.165534
3.683981,5.331375
2.901017,5.251233
5.393709,3.807966
2.01792,6.780908
3.159113,4.060353
1.270411,4.440804
1.713201,5.451643
2.101161,2.962527
2.906279,4.488873
2.578782,4.59362
3.031775,3.542979
3.473102,4.693731
3.858736,4.723003
3.480982,4.937694
0.81868,5.332632
3.336782,4.834878
3.89172,6.302788
3.005401,4.165439
3.80635,3.578008
4.801798,5.720856
3.058684,6.458484
1.408356,4.133106
3.007807,5.932249
3.364889,4.711129
2.658738,6.23235
2.736579,4.677872
2.140603,3.380423
3.267829,4.829864
3.037821,3.345278
2.779874,4.518236
1.635739,4.10857
4.740787,5.107316
4.138726,5.767356
2.348768,6.446508
3.255673,3.674918
4.062482,7.393489
3.017772,5.947429
1.752258,4.294594
3.079906,4.734767
3.931903,3.46283
3.487699,5.412759
2.551742,4.83892
1.559785,4.426024
2.740023,5.305718
4.175104,3.64292
3.039115,8.017942
3.451073,5.736235
2.324961,5.456327
3.63443,3.859816
2.495553,4.233424
3.522137,2.733712
3.77883,3.048545
2.731719,6.016805
1.332137,5.121522
2.489163,5.960093
4.12851,4.182243
3.694375,4.278376
4.189466,6.151402
1.545093,4.842214
1.063413,3.283757
2.967628,6.729754
1.925937,5.035653
3.890921,4.7978
3.152468,5.718307
4.665874,4.325274
2.599378,3.111395
2.554053,5.053377
2.924863,5.824656
2.011532,4.024776
3.468604,5.171767
2.545334,6.863223
2.623996,6.878676
2.287706,5.878437
1.265805,4.434888
2.074968,5.558927
2.276246,5.681617
0.966372,4.474373
2.160631,4.60695
5.049349,5.009932
1.611202,5.512344
0.838058,5.731713
3.662807,4.985184
3.115325,6.155429
3.572095,3.556861
2.606318,4.431385
3.049528,5.500343
3.430898,6.862173
3.871087,5.37105
2.563821,3.725519
1.518616,3.603029
3.954021,3.738814
2.353777,4.311557
2.848518,5.060673
4.110089,4.559511
2.793231,5.441571
2.240749,4.530376
3.18519,5.076657
0.969077,4.671375
4.955839,4.799229
1.701115,5.930788
4.240379,5.877265
3.13565,4.279146
2.25686,5.783491
2.246506,3.953127
4.743218,6.753349
5.261323,6.956652
3.817318,5.519544
3.459324,4.110581
3.94002,5.6088
2.559992,5.979941
2.009003,5.063178
3.455655,5.525454
3.048901,4.895457
5.532564,4.508261
2.198058,3.477878
3.526851,5.285739
2.767918,4.900294
1.609229,6.190633
3.249713,4.249319
5.193241,6.063503
3.369254,4.859583
2.600818,6.072113
4.066815,4.879032
2.244965,4.375718
2.017426,4.696488
1.421609,5.137396
1.562045,5.256511
1.98629,5.276821
3.696024,5.779829
3.644587,5.086345
0.207016,5.185754
3.089911,6.063224
4.402623,5.388623
3.002297,4.492096
1.317466,3.24251
3.429847,6.49262
3.406984,3.063033
2.615585,4.614013
3.599615,3.458639
2.585368,4.677986
3.665954,4.94885
3.882364,4.783327
2.554084,4.337091
1.959716,5.687695
